,BLK_away,BLK_home,FBPS_away,FBPS_home,PF_away,PF_home,PITP_away,PITP_home,PTS_OFF_TO_away,PTS_OFF_TO_home,SEC_PTS_away,SEC_PTS_home,game_ID
180,1,7,12,14,32,18,46,50,22,25,18,3,20171020DETvsWAS
181,3,2,2,7,10,17,64,50,20,16,16,9,20171020CLEvsMIL
182,3,6,6,5,27,17,38,60,16,17,11,16,20171020ORLvsBKN
183,8,2,12,4,21,17,38,44,25,25,1,14,20171020UTAvsMIN
184,3,7,6,9,18,13,26,30,6,14,14,6,20171020SACvsDAL
185,8,4,23,14,23,19,40,48,18,27,17,16,20171020GSWvsNOP
186,3,9,24,15,31,25,62,46,17,21,6,9,20171020LALvsPHX
187,2,4,10,10,23,19,38,50,17,27,10,12,20171019CHIvsTOR
188,4,7,8,35,23,22,38,46,10,37,17,15,20171019NYKvsOKC
189,3,7,9,10,20,15,52,52,21,12,31,10,20171019LACvsLAL
